Circuit,optimize_name,n_qubits,all,T,2,optimize_other,optimize_depth,optimize_depth,time
mod5_4,original,5,63,28,28,7,0,0,9.012222290039062e-05
mod5_4,baisc,5,54,22,27,5,0,0,0.00863027572631836
mod5_4,full,5,35,8,25,2,0,0,0.014969110488891602
mod5_4,clifford,5,63,22,38,3,0,0,0.015560626983642578
vbe_adder_3,original,10,150,70,70,10,0,0,4.76837158203125e-07
vbe_adder_3,baisc,10,128,56,58,14,0,0,0.01809978485107422
vbe_adder_3,full,10,111,24,67,20,0,0,0.044281721115112305
vbe_adder_3,clifford,10,166,56,96,14,0,0,0.04460000991821289
csla_mux_3_original,original,15,170,70,80,20,0,0,4.76837158203125e-07
csla_mux_3_original,baisc,15,155,64,75,16,0,0,0.022585153579711914
csla_mux_3_original,full,15,254,62,176,16,0,0,0.06156277656555176
csla_mux_3_original,clifford,15,180,64,102,14,0,0,0.05289864540100098
csum_mux_9_corrected,original,30,448,196,168,84,0,0,2.384185791015625e-07
csum_mux_9_corrected,baisc,30,364,168,168,28,0,0,0.053400278091430664
csum_mux_9_corrected,full,30,462,84,319,59,0,0,0.27100539207458496
csum_mux_9_corrected,clifford,30,394,164,200,30,0,0,0.3580617904663086
qcla_com_7,original,24,443,203,186,54,0,0,4.76837158203125e-07
qcla_com_7,baisc,24,391,169,174,48,0,0,0.06554746627807617
qcla_com_7,full,24,387,95,238,54,0,0,0.3406848907470703
qcla_com_7,clifford,24,497,169,251,77,0,0,0.29945969581604004
qcla_mod_7,original,26,884,413,382,89,0,0,4.76837158203125e-07
qcla_mod_7,baisc,26,830,351,366,113,0,0,0.16846394538879395
qcla_mod_7,full,26,1158,237,769,152,0,0,5.590790748596191
qcla_mod_7,clifford,26,950,351,491,108,0,0,0.8522181510925293
qcla_adder_10,original,36,521,238,233,50,0,0,2.384185791015625e-07
qcla_adder_10,baisc,36,482,212,217,53,0,0,0.07077407836914062
qcla_adder_10,full,36,587,162,363,62,0,0,0.710824728012085
qcla_adder_10,clifford,36,550,212,285,53,0,0,0.6434516906738281
adder_8,original,24,900,399,409,92,0,0,7.152557373046875e-07
adder_8,baisc,24,822,349,385,88,0,0,0.20398521423339844
adder_8,full,24,673,173,408,92,0,0,1.1070187091827393
adder_8,clifford,24,918,341,470,107,0,0,0.7586712837219238
rc_adder_6,original,14,200,77,93,30,0,0,4.76837158203125e-07
rc_adder_6,baisc,14,175,59,85,31,0,0,0.028049707412719727
rc_adder_6,full,14,197,47,117,33,0,0,0.06921768188476562
rc_adder_6,clifford,14,189,49,98,42,0,0,0.07126879692077637
mod_red_21,original,11,278,119,105,54,0,0,4.76837158203125e-07
mod_red_21,baisc,11,245,107,105,33,0,0,0.03773331642150879
mod_red_21,full,11,250,73,142,35,0,0,0.09484243392944336
mod_red_21,clifford,11,276,107,132,37,0,0,0.08071374893188477
mod_mult_55,original,9,119,49,48,22,0,0,7.152557373046875e-07
mod_mult_55,baisc,9,103,43,48,12,0,0,0.014272451400756836
mod_mult_55,full,9,128,35,80,13,0,0,0.030467510223388672
mod_mult_55,clifford,9,121,43,66,12,0,0,0.025789260864257812
tof_3,original,5,45,21,18,6,0,0,4.76837158203125e-07
tof_3,baisc,5,44,19,18,7,0,0,0.004559755325317383
tof_3,full,5,53,15,29,9,0,0,0.010313034057617188
tof_3,clifford,5,56,19,30,7,0,0,0.008207082748413086
tof_4,original,7,75,35,30,10,0,0,4.76837158203125e-07
tof_4,baisc,7,73,31,30,12,0,0,0.008310079574584961
tof_4,full,7,85,23,47,15,0,0,0.01899123191833496
tof_4,clifford,7,95,31,52,12,0,0,0.015679597854614258
tof_5,original,9,105,49,42,14,0,0,4.76837158203125e-07
tof_5,baisc,9,102,43,42,17,0,0,0.012480020523071289
tof_5,full,9,112,31,63,18,0,0,0.030673742294311523
tof_5,clifford,9,134,43,74,17,0,0,0.02439141273498535
tof_10,original,19,255,119,102,34,0,0,7.152557373046875e-07
tof_10,baisc,19,247,103,102,42,0,0,0.029477357864379883
tof_10,full,19,255,71,132,52,0,0,0.1148226261138916
tof_10,clifford,19,329,103,184,42,0,0,0.10413384437561035
gf2^4_mult,original,12,243,112,99,32,0,0,4.76837158203125e-07
gf2^4_mult,baisc,12,207,96,99,12,0,0,0.032836198806762695
gf2^4_mult,full,12,401,68,311,22,0,0,0.0959160327911377
gf2^4_mult,clifford,12,238,96,131,11,0,0,0.06411147117614746
gf2^5_mult,original,15,379,175,154,50,0,0,9.5367431640625e-07
gf2^5_mult,baisc,15,319,155,154,10,0,0,0.051787376403808594
gf2^5_mult,full,15,578,115,452,11,0,0,0.14909720420837402
gf2^5_mult,clifford,15,351,155,186,10,0,0,0.11047148704528809
gf2^6_mult,original,18,545,252,221,72,0,0,4.76837158203125e-07
gf2^6_mult,baisc,18,455,216,221,18,0,0,0.0769350528717041
gf2^6_mult,full,18,1070,150,860,60,0,0,0.28895998001098633
gf2^6_mult,clifford,18,498,216,264,18,0,0,0.20270943641662598
gf2^7_mult,original,21,741,343,300,98,0,0,9.5367431640625e-07
gf2^7_mult,baisc,21,615,301,300,14,0,0,0.10943603515625
gf2^7_mult,full,21,1452,217,1178,57,0,0,0.4275538921356201
gf2^7_mult,clifford,21,662,301,347,14,0,0,0.3251326084136963
gf2^8_mult,original,24,981,448,405,128,0,0,7.152557373046875e-07
gf2^8_mult,baisc,24,805,384,405,16,0,0,0.22561311721801758
gf2^8_mult,full,24,2132,264,1788,80,0,0,0.8437023162841797
gf2^8_mult,clifford,24,871,384,471,16,0,0,0.6037998199462891
gf2^9_mult,original,27,1223,567,494,162,0,0,7.152557373046875e-07
gf2^9_mult,baisc,27,1007,495,494,18,0,0,0.21798300743103027
gf2^9_mult,full,27,2584,351,2151,82,0,0,0.9526841640472412
gf2^9_mult,clifford,27,1067,495,554,18,0,0,0.7595949172973633
gf2^10_mult,original,30,1509,700,609,200,0,0,7.152557373046875e-07
gf2^10_mult,baisc,30,1239,600,609,30,0,0,0.2743642330169678
gf2^10_mult,full,30,3439,410,2903,126,0,0,1.4959063529968262
gf2^10_mult,clifford,30,1306,600,676,30,0,0,1.1110224723815918
gf2^16_mult,original,48,3885,1792,1581,512,0,0,7.152557373046875e-07
gf2^16_mult,baisc,48,3149,1536,1581,32,0,0,1.774169921875
gf2^16_mult,full,48,10437,1040,9152,245,0,0,12.562880754470825
gf2^16_mult,clifford,48,3303,1536,1735,32,0,0,7.018886566162109
barenco_tof_3,original,5,60,28,24,8,0,0,4.76837158203125e-07
barenco_tof_3,baisc,5,56,24,24,8,0,0,0.00598597526550293
barenco_tof_3,full,5,53,16,28,9,0,0,0.01335287094116211
barenco_tof_3,clifford,5,62,24,30,8,0,0,0.010633468627929688
barenco_tof_4,original,7,114,56,48,10,0,0,4.76837158203125e-07
barenco_tof_4,baisc,7,109,48,48,13,0,0,0.013637781143188477
barenco_tof_4,full,7,98,28,59,11,0,0,0.030541181564331055
barenco_tof_4,clifford,7,123,48,63,12,0,0,0.028142213821411133
barenco_tof_5,original,9,170,84,72,14,0,0,4.76837158203125e-07
barenco_tof_5,baisc,9,162,72,72,18,0,0,0.022424936294555664
barenco_tof_5,full,9,139,40,80,19,0,0,0.056046485900878906
barenco_tof_5,clifford,9,178,72,89,17,0,0,0.04473447799682617
barenco_tof_10,original,19,450,224,192,34,0,0,9.5367431640625e-07
barenco_tof_10,baisc,19,427,192,192,43,0,0,0.07421231269836426
barenco_tof_10,full,19,355,100,202,53,0,0,0.3154716491699219
barenco_tof_10,clifford,19,458,192,224,42,0,0,0.22114086151123047
gf2^32_mult,original,96,13562,7168,6268,126,0,0,1.430511474609375e-06
gf2^32_mult,baisc,96,12476,6144,6268,64,0,0,22.034106969833374
gf2^32_mult,full,96,56256,4128,51238,890,0,0,219.85266089439392
gf2^32_mult,clifford,96,12864,6144,6656,64,0,0,109.1775221824646
